,short_name,age,club,overall,potential,wage_eur,player_positions,international_reputation,skill_moves,pace,shooting,passing,dribbling,defending,physic,log_wage,age2
666,L. Teodorczyk,26,RSC Anderlecht,78,80,29000,ST,2,2,70.0,77.0,63.0,68.0,26.0,80.0,10.275051108968611,676
667,V. Eysseric,25,Fiorentina,78,80,64000,"RW, LW, CAM, LM",2,3,72.0,77.0,79.0,78.0,38.0,65.0,11.06663836234181,625
668,E. Sala,26,FC Nantes,78,80,30000,ST,2,3,62.0,77.0,64.0,73.0,47.0,83.0,10.308952660644293,676
669,R. Jiménez,26,SL Benfica,78,80,16000,ST,3,3,76.0,76.0,69.0,74.0,39.0,80.0,9.680344001221918,676
670,J. Lingard,24,Manchester United,78,80,95000,"RM, LW, LM, RW",2,3,83.0,74.0,72.0,81.0,51.0,67.0,11.461632170582678,576
671,G. Pizarro,27,Sevilla FC,78,80,18000,"CDM, CM",1,2,60.0,62.0,71.0,69.0,74.0,84.0,9.798127036878302,729
672,J. Izquierdo,24,Brighton & Hove Albion,78,80,50000,LW,2,4,93.0,73.0,67.0,82.0,27.0,62.0,10.819778284410283,576
673,R. Battaglia,25,Sporting CP,78,80,18000,"CM, CDM",1,2,66.0,71.0,70.0,75.0,77.0,84.0,9.798127036878302,625
674,J. Cork,28,Burnley,78,79,55000,"CDM, CM",2,2,58.0,60.0,74.0,74.0,76.0,78.0,10.915088464214607,784
675,N. Nkoulou,27,Torino,78,79,57000,CB,3,2,70.0,44.0,65.0,68.0,77.0,74.0,10.950806546816688,729
676,Souza,28,Fenerbahçe SK,78,79,63000,"CDM, CM",2,2,70.0,68.0,71.0,72.0,77.0,82.0,11.05089000537367,784
677,B. Mee,27,Burnley,78,79,53000,CB,1,2,66.0,37.0,58.0,65.0,77.0,82.0,10.87804719253426,729
678,W. Khazri,26,Stade Rennais FC,78,79,14000,"LM, CAM, RM",1,3,76.0,79.0,76.0,79.0,43.0,68.0,9.546812608597396,676
679,A. Townsend,25,Crystal Palace,78,79,55000,"LM, RM",2,3,85.0,75.0,73.0,80.0,33.0,63.0,10.915088464214607,625
680,Raúl Navas,29,Real Sociedad,78,79,30000,CB,1,2,53.0,45.0,59.0,46.0,79.0,70.0,10.308952660644293,841
681,D. Cheryshev,26,Villarreal CF,78,79,35000,"LM, LW",2,3,80.0,74.0,75.0,79.0,56.0,67.0,10.46310334047155,676
682,Hernâni,25,FC Porto,78,79,15000,"RM, LM",2,4,91.0,69.0,70.0,80.0,22.0,59.0,9.615805480084347,625
683,D. Benedetto,27,Boca Juniors,78,79,29000,ST,2,3,81.0,79.0,65.0,74.0,31.0,72.0,10.275051108968611,729
684,Raúl,27,SC Braga,78,79,14000,CB,1,2,50.0,55.0,56.0,56.0,77.0,83.0,9.546812608597396,729
685,Jony,25,Málaga CF,78,79,26000,"LM, RM",1,3,84.0,72.0,76.0,77.0,46.0,66.0,10.165851817003619,625
686,Eliseu,33,SL Benfica,78,78,13000,LB,3,3,76.0,72.0,70.0,74.0,76.0,80.0,9.472704636443673,1089
687,R. van Persie,33,Fenerbahçe SK,78,78,72000,"ST, CAM",3,4,64.0,79.0,77.0,79.0,33.0,63.0,11.184421397998193,1089
688,César Navas,37,Rubin Kazan,78,78,31000,CB,1,2,45.0,39.0,56.0,47.0,82.0,78.0,10.341742483467284,1369
689,J. Terry,36,Aston Villa,78,78,27000,CB,3,2,34.0,47.0,57.0,50.0,80.0,73.0,10.203592144986466,1296
690,Joaquín,35,Real Betis,78,78,20000,"RM, CAM, ST, LM",2,3,68.0,74.0,81.0,82.0,38.0,51.0,9.903487552536127,1225
691,E. Adebayor,33,Medipol Başakşehir FK,78,78,32000,ST,3,3,69.0,76.0,65.0,70.0,32.0,73.0,10.373491181781864,1089
692,J. Toulalan,33,FC Girondins de Bordeaux,78,78,41000,"CB, CDM",3,2,37.0,46.0,73.0,69.0,76.0,78.0,10.621327345686446,1089
693,S. Ignashevich,37,PFC CSKA Moscow,78,78,31000,CB,2,2,34.0,61.0,62.0,50.0,82.0,70.0,10.341742483467284,1369
694,M. Borriello,35,SPAL,78,78,15000,ST,2,2,61.0,75.0,61.0,71.0,27.0,70.0,9.615805480084347,1225
695,B. Yılmaz,31,Trabzonspor,78,78,38000,ST,2,3,82.0,81.0,65.0,67.0,31.0,76.0,10.545341438708522,961
696,J. Briand,31,En Avant de Guingamp,78,78,30000,"ST, RM",2,3,75.0,76.0,74.0,75.0,47.0,75.0,10.308952660644293,961
697,Sergio García,34,RCD Espanyol,78,78,34000,"ST, RM, LM",2,3,75.0,77.0,73.0,79.0,30.0,64.0,10.4341158035983,1156
698,R. Huth,32,Leicester City,78,78,62000,CB,2,2,30.0,54.0,48.0,40.0,78.0,84.0,11.03488966402723,1024
699,Bruno Alves,35,Rangers FC,78,78,38000,CB,2,2,56.0,69.0,68.0,68.0,75.0,85.0,10.545341438708522,1225
700,B. Džemaili,31,Montreal Impact,78,78,54000,"CM, CAM",2,3,66.0,76.0,76.0,77.0,67.0,75.0,10.896739325546411,961
701,R. Klavan,31,Liverpool,78,78,88000,CB,2,2,57.0,48.0,63.0,62.0,78.0,76.0,11.385092093460344,961
702,L. López,34,Racing Club,78,78,25000,ST,2,4,80.0,77.0,71.0,78.0,46.0,71.0,10.126631103850338,1156
703,J. Sosa,32,Trabzonspor,78,78,88000,"CM, CAM",2,3,71.0,70.0,80.0,81.0,58.0,68.0,11.385092093460344,1024
704,G. Gönül,32,Beşiktaş JK,78,78,47000,RB,2,3,80.0,63.0,72.0,79.0,75.0,71.0,10.757902880692196,1024
705,O. Wendt,31,Borussia Mönchengladbach,78,78,35000,"LB, LM",2,3,78.0,63.0,77.0,77.0,76.0,70.0,10.46310334047155,961
706,Jesús Navas,31,Sevilla FC,78,78,20000,RM,2,3,88.0,65.0,73.0,81.0,28.0,50.0,9.903487552536127,961
707,Soldado,32,Fenerbahçe SK,78,78,72000,ST,3,3,60.0,77.0,73.0,73.0,42.0,67.0,11.184421397998193,1024
708,J. Sand,36,Club Atlético Lanús,78,78,17000,ST,1,2,43.0,80.0,63.0,73.0,33.0,70.0,9.740968623038354,1296
709,P. Skjelbred,30,Hertha BSC,78,78,29000,"CDM, CM",2,3,67.0,48.0,75.0,78.0,72.0,75.0,10.275051108968611,900
710,R. Palacio,35,Bologna,78,78,45000,ST,2,3,78.0,74.0,71.0,82.0,38.0,68.0,10.714417768752456,1225
711,Hilton,39,Montpellier HSC,78,78,18000,CB,2,2,38.0,51.0,68.0,67.0,79.0,71.0,9.798127036878302,1521
712,Y. Gourcuff,30,Stade Rennais FC,78,78,28000,"CAM, ST",2,4,65.0,70.0,79.0,81.0,53.0,72.0,10.239959789157341,900
713,M. Bradley,29,Toronto FC,78,78,10000,"CDM, CM",2,2,68.0,68.0,78.0,76.0,71.0,81.0,9.210340371976184,841
714,C. Dempsey,34,Seattle Sounders FC,78,78,11000,"CAM, CF, ST, LM",3,4,65.0,78.0,71.0,77.0,37.0,71.0,9.305650551780507,1156
715,T. Vermaelen,31,FC Barcelona,78,78,120000,"CB, LB",3,2,68.0,61.0,67.0,59.0,76.0,74.0,11.695247021764184,961
716,S. Dann,30,Crystal Palace,78,78,53000,CB,2,2,45.0,40.0,52.0,49.0,79.0,77.0,10.87804719253426,900
717,J. Farfán,32,Lokomotiv Moscow,78,78,45000,"RM, ST",2,3,83.0,76.0,77.0,77.0,35.0,75.0,10.714417768752456,1024
718,I. Afellay,31,Stoke City,78,78,68000,"CAM, CM, LM, CDM",2,4,75.0,73.0,78.0,80.0,54.0,65.0,11.127262984158243,961
719,C. Gentner,31,VfB Stuttgart,78,78,29000,"CM, CDM, CAM",2,2,49.0,75.0,73.0,70.0,75.0,80.0,10.275051108968611,961
720,F. Quagliarella,34,Sampdoria,78,78,42000,ST,2,2,71.0,83.0,71.0,76.0,24.0,69.0,10.645424897265505,1156
721,R. Montolivo,32,Milan,78,78,80000,"CDM, CM",3,3,56.0,68.0,82.0,77.0,69.0,68.0,11.289781913656018,1024
722,Javi García,30,Real Betis,78,78,24000,CDM,2,2,65.0,63.0,67.0,68.0,77.0,81.0,10.085809109330082,900
723,Llorente,32,Tottenham Hotspur,78,78,91000,ST,3,2,49.0,75.0,60.0,66.0,28.0,78.0,11.418614785498987,1024
724,N. Lombaerts,32,KV Oostende,78,78,18000,CB,2,2,39.0,48.0,65.0,57.0,80.0,75.0,9.798127036878302,1024
725,Adriano,32,Beşiktaş JK,78,78,47000,"LB, LM",2,3,75.0,71.0,77.0,81.0,75.0,72.0,10.757902880692196,1024
726,F. Gago,31,Boca Juniors,78,78,25000,"CDM, CM",3,2,62.0,59.0,76.0,73.0,74.0,68.0,10.126631103850338,961
727,M. Ruben,30,Rosario Central,78,78,23000,ST,1,3,76.0,77.0,65.0,75.0,41.0,71.0,10.043249494911286,900
728,I. Abate,30,Milan,78,78,80000,RB,2,3,85.0,52.0,71.0,77.0,74.0,75.0,11.289781913656018,900
729,S. Bocchetti,30,Spartak Moscow,78,78,56000,CB,2,2,66.0,51.0,55.0,61.0,78.0,77.0,10.933106969717286,900
730,Rafinha,31,FC Bayern München,78,78,79000,"RB, CB",2,3,72.0,47.0,73.0,76.0,76.0,65.0,11.27720313144916,961
731,S. Defour,29,Burnley,78,78,60000,"CM, LM",2,3,68.0,71.0,78.0,77.0,73.0,73.0,11.002099841204238,841
732,E. Elia,30,Medipol Başakşehir FK,78,78,32000,"LW, LM",2,4,90.0,71.0,69.0,85.0,31.0,67.0,10.373491181781864,900
733,M. Fernández,31,Club Necaxa,78,78,17000,"CM, CF",2,5,76.0,70.0,79.0,86.0,56.0,59.0,9.740968623038354,961
734,A. Ramos,31,Granada CF,78,78,15000,"ST, RW",2,3,80.0,74.0,65.0,74.0,37.0,72.0,9.615805480084347,961
735,C. Zapata,30,Milan,78,78,80000,CB,2,2,66.0,32.0,46.0,56.0,81.0,79.0,11.289781913656018,900
736,Miguel Veloso,31,Genoa,78,78,32000,"CDM, CM",3,2,61.0,70.0,82.0,75.0,71.0,72.0,10.373491181781864,961
737,P. Baysse,29,Málaga CF,78,78,26000,"CB, RB",1,2,65.0,46.0,66.0,64.0,78.0,80.0,10.165851817003619,841
738,Granero,29,RCD Espanyol,78,78,33000,"CM, CAM, CDM",2,3,57.0,72.0,82.0,77.0,65.0,63.0,10.404262840448617,841
739,T. Mangani,30,Angers SCO,78,78,28000,CM,2,2,63.0,71.0,76.0,73.0,73.0,74.0,10.239959789157341,900
740,M. Layún,29,FC Porto,78,78,15000,"LB, RB",3,3,78.0,72.0,75.0,75.0,74.0,71.0,9.615805480084347,841
741,Mosquera,29,Deportivo de La Coruña,78,78,26000,"CDM, CM",2,2,56.0,59.0,75.0,70.0,70.0,75.0,10.165851817003619,841
742,Ki Sung Yueng,28,Swansea City,78,78,71000,"CM, CDM",2,3,65.0,74.0,81.0,75.0,63.0,70.0,11.170435156023453,784
743,Luiz Adriano,30,Spartak Moscow,78,78,67000,ST,2,3,78.0,78.0,64.0,77.0,30.0,66.0,11.112447898373103,900
744,M. Suchý,29,FC Basel 1893,78,78,40000,CB,1,2,63.0,52.0,58.0,64.0,78.0,79.0,10.596634733096073,841
745,J. Holebas,33,Watford,78,78,53000,"LB, LWB",2,3,80.0,67.0,70.0,74.0,76.0,82.0,10.87804719253426,1089
746,A. Carroll,28,West Ham United,78,78,105000,ST,2,2,62.0,78.0,61.0,68.0,49.0,85.0,11.56171562913966,784
747,M. Pereira,33,FC Porto,78,78,15000,RB,3,2,73.0,62.0,71.0,76.0,76.0,75.0,9.615805480084347,1089
748,T. Deeney,29,Watford,78,78,65000,ST,2,3,65.0,81.0,65.0,69.0,35.0,85.0,11.082142548877775,841
749,R. Bobadilla,30,Borussia Mönchengladbach,78,78,41000,"ST, RM",2,3,73.0,77.0,70.0,78.0,37.0,86.0,10.621327345686446,900
750,F. Bartels,30,SV Werder Bremen,78,78,34000,"CF, RM, LM",2,4,86.0,73.0,73.0,82.0,40.0,61.0,10.4341158035983,900
751,S. Langkamp,29,Hertha BSC,78,78,30000,CB,2,2,60.0,29.0,48.0,43.0,80.0,75.0,10.308952660644293,841
752,N. Müller,29,Hamburger SV,78,78,40000,"RM, LM",2,3,87.0,72.0,70.0,81.0,45.0,66.0,10.596634733096073,841
753,Fernando,29,Galatasaray SK,78,78,56000,"CDM, CM",2,2,64.0,61.0,67.0,68.0,78.0,82.0,10.933106969717286,841
754,K. Gibbs,27,West Bromwich Albion,78,78,62000,LB,2,3,79.0,55.0,70.0,74.0,77.0,72.0,11.03488966402723,729
755,K. Honda,31,Pachuca,78,78,38000,"RW, CAM",3,4,76.0,71.0,81.0,82.0,48.0,66.0,10.545341438708522,961
756,J. Montero,27,Getafe CF,78,78,68000,"LM, LW",2,4,90.0,68.0,73.0,82.0,31.0,65.0,11.127262984158243,729
757,K. Asamoah,28,Juventus,78,78,89000,"LB, LM, CM",2,4,77.0,68.0,77.0,82.0,75.0,74.0,11.396391648714276,784
758,D. Glushakov,30,Spartak Moscow,78,78,56000,"CDM, CM",1,3,69.0,76.0,73.0,75.0,76.0,74.0,10.933106969717286,900
759,A. Dzyuba,28,Zenit St. Petersburg,78,78,70000,ST,2,3,65.0,75.0,66.0,69.0,29.0,85.0,11.156250521031495,784
760,P. Mamaev,28,FC Krasnodar,78,78,51000,"RW, CM, LW",1,3,78.0,74.0,79.0,79.0,67.0,66.0,10.839580911706463,784
761,Juanfran,28,Deportivo de La Coruña,78,78,26000,RB,2,3,79.0,67.0,70.0,74.0,74.0,76.0,10.165851817003619,784
762,L. Acosta,29,Club Atlético Lanús,78,78,23000,"LW, RW",1,4,93.0,72.0,70.0,81.0,33.0,55.0,10.043249494911286,841
763,S. Lulić,31,Lazio,78,78,50000,"CM, LB, LM",2,3,77.0,72.0,77.0,78.0,73.0,78.0,10.819778284410283,961
764,Miguel Lopes,30,Akhisar Belediyespor,78,78,20000,RB,2,3,77.0,50.0,72.0,73.0,74.0,79.0,9.903487552536127,900
765,Y. Bolasie,28,Everton,78,78,105000,"RM, ST, LM",2,5,87.0,68.0,68.0,84.0,31.0,78.0,11.56171562913966,784
766,Susaeta,29,Athletic Club de Bilbao,78,78,30000,"RW, LW",2,3,75.0,71.0,82.0,78.0,28.0,64.0,10.308952660644293,841
767,Victor Sánchez,29,RCD Espanyol,78,78,30000,"RB, CDM, CM, LB",1,3,64.0,63.0,79.0,72.0,79.0,68.0,10.308952660644293,841
768,J. Baumgartlinger,29,Bayer 04 Leverkusen,78,78,50000,CDM,2,2,71.0,49.0,68.0,68.0,76.0,83.0,10.819778284410283,841
769,Rafael,26,Olympique Lyonnais,78,78,57000,RB,2,3,81.0,59.0,72.0,78.0,75.0,78.0,10.950806546816688,676
770,Etxeita,29,Athletic Club de Bilbao,78,78,26000,CB,1,2,52.0,35.0,48.0,56.0,78.0,81.0,10.165851817003619,841
771,C. Borges,29,Deportivo de La Coruña,78,78,26000,"CDM, CM, CAM",2,3,61.0,77.0,73.0,72.0,76.0,74.0,10.165851817003619,841
772,H. Badstuber,28,VfB Stuttgart,78,78,28000,CB,2,2,46.0,51.0,73.0,52.0,79.0,69.0,10.239959789157341,784
773,R. Hamouma,30,AS Saint-Étienne,78,78,42000,"RW, LW, CAM",2,4,78.0,78.0,77.0,79.0,43.0,65.0,10.645424897265505,900
774,E. Giaccherini,32,Napoli,78,78,67000,"LW, CM",2,3,78.0,70.0,76.0,82.0,62.0,62.0,11.112447898373103,1024
775,G. Burgstaller,28,FC Schalke 04,78,78,46000,"ST, LW",1,3,73.0,78.0,65.0,73.0,29.0,83.0,10.736396675471232,784
776,C. Austin,27,Southampton,78,78,85000,ST,1,2,65.0,79.0,56.0,68.0,40.0,76.0,11.350406535472453,729
777,T. Gutiérrez,32,Junior FC,78,78,6000,ST,2,3,65.0,78.0,74.0,79.0,26.0,74.0,8.699514748210191,1024
778,E. Pérez,31,River Plate,78,78,25000,"CM, CDM",2,3,70.0,70.0,75.0,74.0,75.0,80.0,10.126631103850338,961
779,D. Caligiuri,29,FC Schalke 04,78,78,42000,"RM, LM, RW",2,3,78.0,72.0,74.0,80.0,49.0,69.0,10.645424897265505,841
780,N. Lodeiro,28,Seattle Sounders FC,78,78,11000,"RM, CAM, CF",2,4,71.0,70.0,78.0,79.0,43.0,69.0,9.305650551780507,784
781,M. Höger,27,1. FC Köln,78,78,38000,"CM, CDM",2,3,57.0,71.0,76.0,73.0,78.0,80.0,10.545341438708522,729
782,C. Aránguiz,28,Bayer 04 Leverkusen,78,78,54000,"CM, CDM",2,3,75.0,71.0,80.0,77.0,61.0,70.0,10.896739325546411,784
783,André André,27,FC Porto,78,78,16000,CM,2,3,71.0,72.0,75.0,78.0,69.0,68.0,9.680344001221918,729
784,N. Chadli,27,West Bromwich Albion,78,78,68000,"RM, LM, CAM",2,3,76.0,77.0,75.0,78.0,45.0,76.0,11.127262984158243,729
785,M. Badelj,28,Fiorentina,78,78,64000,"CM, CDM",2,3,59.0,63.0,77.0,73.0,75.0,74.0,11.06663836234181,784
786,David López,27,RCD Espanyol,78,78,28000,"CB, CM, CDM",1,2,60.0,66.0,66.0,66.0,77.0,81.0,10.239959789157341,729
787,Joãozinho,28,FC Krasnodar,78,78,47000,"LM, LW, RM, RW",2,4,90.0,74.0,75.0,79.0,56.0,51.0,10.757902880692196,784
788,T. Inui,29,SD Eibar,78,78,25000,"LM, RM",1,3,83.0,69.0,73.0,86.0,37.0,58.0,10.126631103850338,841
789,L. Castro,28,Chievo Verona,78,78,22000,"CM, RM",2,3,78.0,67.0,78.0,80.0,65.0,68.0,9.998797732340453,784
790,A. Samaris,28,SL Benfica,78,78,14000,"CDM, CM",2,3,60.0,65.0,69.0,70.0,78.0,84.0,9.546812608597396,784
791,Bruno Peres,27,Roma,78,78,62000,"RM, RB",2,3,91.0,67.0,71.0,80.0,73.0,75.0,11.03488966402723,729
792,A. Szymanowski,28,CD Leganés,78,78,29000,"LM, CM, LW",2,4,88.0,72.0,72.0,78.0,39.0,62.0,10.275051108968611,784
793,Pedro Santos,29,Columbus Crew SC,78,78,11000,"RM, LM",1,3,87.0,73.0,73.0,80.0,31.0,57.0,9.305650551780507,841
794,Morales,29,Levante UD,78,78,28000,"LM, RM",1,3,88.0,75.0,71.0,80.0,51.0,60.0,10.239959789157341,841
795,O. Al Soma,28,Al Ahli,78,78,49000,ST,2,4,73.0,79.0,68.0,73.0,40.0,79.0,10.799575577092764,784
796,L. Hernández,21,Atlético Madrid,77,88,36000,"CB, LB",1,2,65.0,42.0,53.0,56.0,78.0,70.0,10.491274217438248,441
797,A. Diawara,19,Napoli,77,87,30000,"CDM, CM",2,2,74.0,50.0,73.0,77.0,69.0,76.0,10.308952660644293,361
798,P. Schick,21,Roma,77,87,34000,ST,2,4,76.0,75.0,69.0,79.0,26.0,68.0,10.4341158035983,441
799,Andreas Pereira,21,Valencia CF,77,86,86000,"LM, CM, CAM",1,3,72.0,71.0,76.0,82.0,62.0,69.0,11.362102575235644,441
800,A. Živković,20,SL Benfica,77,86,11000,"RM, LM",1,3,85.0,69.0,73.0,80.0,32.0,49.0,9.305650551780507,400
801,Rúben Neves,20,Wolverhampton Wanderers,77,86,39000,"CDM, CM",2,3,66.0,68.0,78.0,73.0,72.0,71.0,10.571316925111784,400
802,Diogo Jota,20,Wolverhampton Wanderers,77,86,45000,"LW, ST",2,4,81.0,74.0,67.0,83.0,46.0,70.0,10.714417768752456,400
803,P. Kimpembe,21,Paris Saint-Germain,77,86,51000,CB,2,2,69.0,35.0,51.0,64.0,77.0,74.0,10.839580911706463,441
804,Marcos Llorente,22,Real Madrid,77,86,105000,"CDM, CM",1,2,55.0,48.0,72.0,70.0,71.0,71.0,11.56171562913966,484
805,Pablo Fornals,21,Villarreal CF,77,86,27000,"CAM, CM, CDM, LM",1,2,61.0,66.0,76.0,75.0,69.0,65.0,10.203592144986466,441
806,O. Ndidi,20,Leicester City,77,86,47000,"CDM, CM",1,2,74.0,60.0,65.0,67.0,78.0,80.0,10.757902880692196,400
807,N. Redmond,23,Southampton,77,85,68000,"LM, RM, ST",2,4,87.0,69.0,70.0,82.0,24.0,52.0,11.127262984158243,529
808,S. Azmoun,22,Rubin Kazan,77,85,46000,ST,1,3,82.0,75.0,64.0,75.0,40.0,68.0,10.736396675471232,484
809,M. Kranevitter,24,Zenit St. Petersburg,77,85,48000,"CDM, CM",1,2,71.0,49.0,68.0,70.0,77.0,77.0,10.778956289890028,576
810,A. Halilović,21,UD Las Palmas,77,85,30000,"CAM, RM, CM",1,4,76.0,64.0,77.0,80.0,28.0,44.0,10.308952660644293,441
811,Wallace,22,Lazio,77,85,39000,CB,2,2,69.0,28.0,44.0,48.0,78.0,76.0,10.571316925111784,484
812,Sandro,21,Everton,77,85,84000,ST,2,3,75.0,80.0,64.0,78.0,27.0,66.0,11.33857207782545,441
813,S. Driussi,21,Zenit St. Petersburg,77,85,54000,"ST, LW",1,3,83.0,75.0,70.0,74.0,25.0,70.0,10.896739325546411,441
814,Vallejo,20,Real Madrid,77,85,90000,CB,1,2,73.0,41.0,56.0,62.0,79.0,70.0,11.407564949312402,400
815,N. Amiri,20,TSG 1899 Hoffenheim,77,85,30000,"CAM, CM, LM",1,4,73.0,67.0,76.0,82.0,51.0,60.0,10.308952660644293,400
816,L. Pellegrini,21,Roma,77,85,48000,CM,2,2,76.0,66.0,75.0,75.0,70.0,72.0,10.778956289890028,441
817,Sergi Gómez,25,RC Celta,77,84,23000,CB,1,2,43.0,41.0,65.0,62.0,78.0,73.0,10.043249494911286,625
818,L. Paredes,23,Zenit St. Petersburg,77,84,48000,"CDM, CM",2,4,72.0,66.0,80.0,78.0,69.0,73.0,10.778956289890028,529
819,Vitinho,23,PFC CSKA Moscow,77,84,46000,"ST, CAM",1,5,79.0,79.0,74.0,81.0,39.0,61.0,10.736396675471232,529
820,A. Januzaj,22,Real Sociedad,77,84,27000,"LM, RM, CAM",1,4,79.0,66.0,75.0,81.0,21.0,50.0,10.203592144986466,484
821,A. Baba,22,Chelsea,77,84,80000,"LB, LM",2,3,82.0,50.0,67.0,76.0,74.0,73.0,11.289781913656018,484
822,Rony Lopes,21,AS Monaco,77,84,29000,RM,2,4,79.0,70.0,75.0,81.0,30.0,55.0,10.275051108968611,441
823,R. Zobnin,23,Spartak Moscow,77,84,48000,"CDM, CM, LM",1,2,76.0,56.0,71.0,77.0,75.0,71.0,10.778956289890028,529
824,G. Escalante,24,SD Eibar,77,84,19000,"CDM, CM",1,3,67.0,61.0,69.0,71.0,77.0,79.0,9.852194258148577,576
825,Aritz Elustondo,23,Real Sociedad,77,84,24000,"RB, CB",1,2,71.0,33.0,56.0,59.0,78.0,71.0,10.085809109330082,529
826,Dalbert,23,Inter,77,84,48000,"LB, LWB, LM",1,2,91.0,62.0,71.0,78.0,72.0,72.0,10.778956289890028,529
827,Juanmi,24,Real Sociedad,77,83,30000,"ST, CAM, LM",1,4,79.0,76.0,67.0,80.0,30.0,55.0,10.308952660644293,576
828,Jordi Amat,25,Real Betis,77,83,59000,CB,2,2,68.0,48.0,53.0,57.0,76.0,76.0,10.985292722887856,625
829,J. Veretout,24,Fiorentina,77,83,54000,"CM, CDM",1,3,66.0,74.0,77.0,75.0,65.0,71.0,10.896739325546411,576
830,H. Maguire,24,Leicester City,77,83,53000,CB,1,2,46.0,37.0,56.0,61.0,77.0,82.0,10.87804719253426,576
831,J. Lukaku,22,Lazio,77,83,39000,LB,2,3,89.0,60.0,68.0,76.0,72.0,81.0,10.571316925111784,484
832,T. Partey,24,Atlético Madrid,77,83,41000,"CDM, CM, RM",1,2,77.0,63.0,68.0,75.0,73.0,83.0,10.621327345686446,576
833,Otávio,22,FC Porto,77,83,14000,"LM, CAM",1,4,76.0,66.0,75.0,83.0,37.0,60.0,9.546812608597396,484
834,Jonny,23,RC Celta,77,83,21000,"LB, RB",2,2,77.0,42.0,64.0,69.0,77.0,76.0,9.95227771670556,529
835,M. Lemina,23,Southampton,77,83,68000,"CM, CDM",2,3,78.0,66.0,77.0,79.0,66.0,75.0,11.127262984158243,529
836,K. Tete,21,Olympique Lyonnais,77,83,43000,RB,2,2,77.0,40.0,60.0,63.0,79.0,78.0,10.668955394675699,441
837,W. Hoedt,23,Southampton,77,83,61000,CB,2,2,66.0,47.0,59.0,59.0,78.0,74.0,11.018629143155449,529
838,G. Nkoudou,22,Tottenham Hotspur,77,83,73000,"LM, RM",1,3,91.0,72.0,71.0,79.0,35.0,62.0,11.198214720130528,484
839,M. Lemos,21,UD Las Palmas,77,83,17000,"CB, CDM",1,2,70.0,54.0,57.0,70.0,78.0,74.0,9.740968623038354,441
840,J. Shelvey,25,Newcastle United,77,82,66000,"CM, CDM",2,2,62.0,73.0,79.0,73.0,60.0,77.0,11.097410021008562,625
841,D. Reyes,24,FC Porto,77,82,13000,CB,3,2,65.0,45.0,62.0,70.0,78.0,68.0,9.472704636443673,576
842,G. Imbula,24,Toulouse Football Club,77,82,59000,"CM, CDM",1,3,72.0,61.0,73.0,80.0,62.0,72.0,10.985292722887856,576
843,Luis Alberto,24,Lazio,77,82,43000,"CAM, LW, LM",2,3,63.0,71.0,77.0,76.0,27.0,50.0,10.668955394675699,576
844,Campaña,24,Levante UD,77,82,21000,"CDM, CAM, CM",1,3,66.0,69.0,78.0,76.0,73.0,72.0,9.95227771670556,576
845,Pedro Obiang,25,West Ham United,77,82,79000,"CDM, CM",2,2,68.0,59.0,75.0,74.0,75.0,77.0,11.27720313144916,625
846,M. Hinteregger,24,FC Augsburg,77,82,23000,CB,2,2,68.0,61.0,64.0,59.0,77.0,81.0,10.043249494911286,576
847,S. Sturaro,24,Juventus,77,82,81000,"CM, LM",2,2,76.0,67.0,73.0,76.0,74.0,79.0,11.302204433654575,576
848,T. Kongolo,23,AS Monaco,77,82,29000,"LB, CB",2,2,81.0,43.0,64.0,67.0,78.0,76.0,10.275051108968611,529
849,S. Haller,23,Eintracht Frankfurt,77,82,30000,ST,1,3,76.0,75.0,55.0,72.0,35.0,76.0,10.308952660644293,529
850,J. Córdoba,24,1. FC Köln,77,82,36000,ST,1,3,81.0,73.0,61.0,73.0,41.0,84.0,10.491274217438248,576
851,J. Quintero,24,Independiente Medellín,77,82,14000,CAM,2,4,74.0,70.0,77.0,84.0,28.0,43.0,9.546812608597396,576
852,S. Widmer,24,Udinese,77,82,24000,"RB, RM",2,2,81.0,63.0,73.0,76.0,71.0,78.0,10.085809109330082,576
853,M. Politano,23,Sassuolo,77,82,52000,"LW, RW",2,3,82.0,69.0,71.0,82.0,17.0,50.0,10.858998997563564,529
854,M. Philipp,23,Borussia Dortmund,77,82,53000,"CF, ST, LW, RW",1,3,80.0,75.0,70.0,80.0,31.0,65.0,10.87804719253426,529
855,Bastos,25,Lazio,77,82,43000,CB,2,2,72.0,37.0,50.0,60.0,78.0,74.0,10.668955394675699,625
856,Pedro Henrique,24,Vitória Guimarães,77,82,11000,CB,1,2,51.0,42.0,46.0,55.0,77.0,84.0,9.305650551780507,576
857,A. Schöpf,23,FC Schalke 04,77,82,35000,"RM, RWB, RW",1,3,78.0,71.0,70.0,80.0,53.0,68.0,10.46310334047155,529
858,Bruno Gaspar,24,Fiorentina,77,82,48000,RB,1,2,84.0,61.0,69.0,78.0,72.0,73.0,10.778956289890028,576
859,V. Janssen,23,Fenerbahçe SK,77,82,80000,ST,2,2,70.0,78.0,56.0,70.0,26.0,78.0,11.289781913656018,529
860,J. King,25,Bournemouth,77,81,69000,"ST, CF, CAM",1,3,90.0,77.0,60.0,76.0,29.0,70.0,11.141861783579396,625
861,S. Cook,26,Bournemouth,77,81,61000,CB,1,2,56.0,27.0,51.0,60.0,77.0,77.0,11.018629143155449,676
